"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @AntiTalibanISIS: #Radical #Muslims in the #UK - Message to the #British Gov. by Younus AlGohar’ on #SoundCloud #np https://t.co/98kkyfc…",FALSE,0,NA,2016-01-30 17:30:28,FALSE,NA,"693486447421198337",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","imranyrg",1,TRUE,FALSE,NA,NA
"2","#Radical #Muslims in the #UK - Message to the #British Gov. by Younus AlGohar’ on #SoundCloud #np https://t.co/98kkyfciu7 #ISIS #Taliban",FALSE,1,NA,2016-01-30 17:20:46,FALSE,NA,"693484008345358336",NA,"<a href=""http://twittnuker.org"" rel=""nofollow"">Twittnuker</a>","AntiTalibanISIS",1,FALSE,FALSE,"-0.12835129","51.39481673"
"3","#sierra #Saudi Arabia #ISIS the war amongst humanity is amongst yourselves, under Stan the trial, under Stan the dean",FALSE,0,NA,2016-01-30 16:05:40,FALSE,NA,"693465109381955584",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","patienceuk",0,FALSE,FALSE,"-0.23420762","51.514151"
"4","@Jon_Namik said that before that usa created Isis and fear them not Assad. For me strong Assad, Hussain = no isis",FALSE,0,"Jon_Namik",2016-01-29 19:55:04,FALSE,"693153348132982785","693160450347929601","1564163070","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","g_kaluza",0,FALSE,FALSE,"-0.40463107","51.66967"
"5","@Jon_Namik I agree on that. I support everyone who fights Isis. At the moment no really is interested in.",FALSE,0,"Jon_Namik",2016-01-29 19:52:31,FALSE,"693153348132982785","693159811228291076","1564163070","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","g_kaluza",0,FALSE,FALSE,"-0.40463","51.66967"
"6","@Jon_Namik anyway Isis is much bigger threat to world and neighboring countries than Syrian dictator",FALSE,0,"Jon_Namik",2016-01-29 17:44:17,FALSE,"693102231365763072","693127538806243328","1564163070","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","g_kaluza",0,FALSE,FALSE,"-0.39713","51.67185"
"7","@Jon_Namik your tweet confirms you maybe not directly but support Isis. All ""Assad"" killings are victims of Syrian civil war",FALSE,0,"Jon_Namik",2016-01-29 17:37:41,FALSE,"693102231365763072","693125879422173184","1564163070","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","g_kaluza",0,FALSE,FALSE,"-0.3983468","51.6712208"
"8","@Jon_Namik I know the story and blame usa and western countries for creation of isis",FALSE,0,"Jon_Namik",2016-01-29 13:52:28,FALSE,"693068618528100352","693069197778251781","1564163070","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","g_kaluza",0,FALSE,FALSE,"-0.24141172","51.76179545"
"9","@Jon_Namik Turkey should cooperate with Kurds in Syria and Iraq, Assad and Iraqi gov in order to destroy Isis. Nowadays even with Russians",FALSE,0,"Jon_Namik",2016-01-29 13:49:55,FALSE,"693040340375322624","693068557559730176","1564163070","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","g_kaluza",0,FALSE,FALSE,"-0.24141172","51.76179545"
"10","@Jon_Namik look at France, Isis officially attacked them they dropped few bombs and are happy.",FALSE,0,"Jon_Namik",2016-01-29 13:47:41,FALSE,"693040340375322624","693067996877721602","1564163070","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","g_kaluza",0,FALSE,FALSE,"-0.24045115","51.76225436"
