"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @lesstaxingcpa: “@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https:…",FALSE,0,NA,2016-01-31 14:47:00,FALSE,NA,"693807699083948033",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","HambySr",7,TRUE,FALSE,NA,NA
"2","RT @lesstaxingcpa: “@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https:…",FALSE,0,NA,2016-01-31 12:54:37,FALSE,NA,"693779415445159936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","randyslaughter",7,TRUE,FALSE,NA,NA
"3","RT @lesstaxingcpa: “@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https:…",FALSE,0,NA,2016-01-31 12:23:19,FALSE,NA,"693771539481628672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","liberal_not",7,TRUE,FALSE,NA,NA
"4","RT @lesstaxingcpa: “@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https:…",FALSE,0,NA,2016-01-31 12:19:33,FALSE,NA,"693770593473200128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","doug69",7,TRUE,FALSE,NA,NA
"5","RT @lesstaxingcpa: “@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https:…",FALSE,0,NA,2016-01-31 12:17:19,FALSE,NA,"693770032090755073",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","M_Saxman",7,TRUE,FALSE,NA,NA
"6","RT @lesstaxingcpa: “@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https:…",FALSE,0,NA,2016-01-31 12:03:03,FALSE,NA,"693766440080560128",NA,"<a href=""https://twitter.com/forewit"" rel=""nofollow"">Team Forewit</a>","RightRobot",7,TRUE,FALSE,NA,NA
"7","RT @lesstaxingcpa: “@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https:…",FALSE,0,NA,2016-01-31 12:02:36,FALSE,NA,"693766326234517505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2cowboys4u",7,TRUE,FALSE,NA,NA
"8","“@OneNatnIndvsbl: #Obama ISIS like Christian Crusaders No:Crusades were 900yrs ago &amp; reclaimed lands from Muslims https://t.co/Oj0xMFkuI4”",FALSE,5,"OneNatnIndvsbl",2016-01-31 12:02:01,FALSE,"565128455797604353","693766180503425024","2184099044","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lesstaxingcpa",7,FALSE,FALSE,"-77.27133224","38.82362414"
"9","New World Order is the start of the PROPHECY. #ISIS was sent to start a pretext for war that will come.",FALSE,0,NA,2016-01-31 00:05:26,FALSE,NA,"693585846138572800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThayerArnett",0,FALSE,FALSE,"-76.9917125","39.5650062"
"10","Isreal,Saudi Arabia,U.S,Turkey are trying to keep this LIE running but it will BACKFIRE! Isis stands for ISREALI SECRET INTELLIGENCE SERVICE",FALSE,0,NA,2016-01-30 23:56:17,FALSE,NA,"693583542534692866",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThayerArnett",0,FALSE,FALSE,"-76.9917125","39.5650062"
"11","#isis was create to destabilize the middle east so that the countries resort to us for help weapons and main thing of all MONEY, Oil...",FALSE,0,NA,2016-01-30 23:51:44,FALSE,NA,"693582399809126401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThayerArnett",0,FALSE,FALSE,"-76.9917125","39.5650062"
"12","RT @kathkuehnast: Women and extremism event at Wilson Center. The women's issue will be the undoing of ISIS. Fatima Sadiqi https://t.co/in0…",FALSE,0,NA,2016-01-28 23:12:44,FALSE,NA,"692847808416591873",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CraigZelizer",3,TRUE,FALSE,NA,NA
"13","RT @kathkuehnast: Women and extremism event at Wilson Center. The women's issue will be the undoing of ISIS. Fatima Sadiqi https://t.co/in0…",FALSE,0,NA,2016-01-28 22:00:46,FALSE,NA,"692829695725834241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","violagienger",3,TRUE,FALSE,NA,NA
"14","RT @kathkuehnast: Women and extremism event at Wilson Center. The women's issue will be the undoing of ISIS. Fatima Sadiqi https://t.co/in0…",FALSE,0,NA,2016-01-28 21:29:48,FALSE,NA,"692821904206471169",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ariel_ahram",3,TRUE,FALSE,NA,NA
"15","Women and extremism event at Wilson Center. The women's issue will be the undoing of ISIS. Fatima Sadiqi https://t.co/in0mM21NFp",FALSE,2,NA,2016-01-28 21:08:53,FALSE,NA,"692816641634230272",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","kathkuehnast",3,FALSE,FALSE,"-77.029826","38.893906"
"16","RT @TimothyS: American ISIS. RT @iamgreenbean: Southern Paiute tribes in Nevada say Bundys defaced ancient Paiute petroglyphs https://t.co/…",FALSE,0,NA,2016-01-27 08:48:44,FALSE,NA,"692267988549005312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shilkytouch",6,TRUE,FALSE,NA,NA
"17","RT @TimothyS: American ISIS. RT @iamgreenbean: Southern Paiute tribes in Nevada say Bundys defaced ancient Paiute petroglyphs https://t.co/…",FALSE,0,NA,2016-01-27 04:18:31,FALSE,NA,"692199984003940356",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiChristine",6,TRUE,FALSE,NA,NA
"18","RT @TimothyS: American ISIS. RT @iamgreenbean: Southern Paiute tribes in Nevada say Bundys defaced ancient Paiute petroglyphs https://t.co/…",FALSE,0,NA,2016-01-27 03:30:44,FALSE,NA,"692187960758943744",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Adampdx",6,TRUE,FALSE,NA,NA
"19","RT @TimothyS: American ISIS. RT @iamgreenbean: Southern Paiute tribes in Nevada say Bundys defaced ancient Paiute petroglyphs https://t.co/…",FALSE,0,NA,2016-01-27 03:30:08,FALSE,NA,"692187810376355840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_Orwell",6,TRUE,FALSE,NA,NA
"20","RT @TimothyS: American ISIS. RT @iamgreenbean: Southern Paiute tribes in Nevada say Bundys defaced ancient Paiute petroglyphs https://t.co/…",FALSE,0,NA,2016-01-27 03:28:57,FALSE,NA,"692187510907211779",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","juliesbooks",6,TRUE,FALSE,NA,NA
"21","RT @TimothyS: American ISIS. RT @iamgreenbean: Southern Paiute tribes in Nevada say Bundys defaced ancient Paiute petroglyphs https://t.co/…",FALSE,0,NA,2016-01-27 03:27:50,FALSE,NA,"692187228257304579",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JasonPackman",6,TRUE,FALSE,NA,NA
"22","American ISIS. RT @iamgreenbean: Southern Paiute tribes in Nevada say Bundys defaced ancient Paiute petroglyphs https://t.co/C2gOG7742K",FALSE,6,"iamgreenbean",2016-01-27 03:25:53,FALSE,"691104886591660032","692186739197263872","15081378","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TimothyS",6,FALSE,FALSE,"-77.0737927","38.96208055"
"23","RT @lesstaxingcpa: “@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,0,NA,2016-01-26 11:54:53,FALSE,NA,"691952446558576641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LadyB117",7,TRUE,FALSE,NA,NA
"24","RT @lesstaxingcpa: “@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,0,NA,2016-01-26 11:43:18,FALSE,NA,"691949532419092480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","butchman14",7,TRUE,FALSE,NA,NA
"25","RT @lesstaxingcpa: “@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,0,NA,2016-01-26 11:38:32,FALSE,NA,"691948332843995136",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","pearly2004",7,TRUE,FALSE,NA,NA
"26","RT @lesstaxingcpa: “@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,0,NA,2016-01-26 11:35:41,FALSE,NA,"691947611767578624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johnrogers411",7,TRUE,FALSE,NA,NA
"27","RT @lesstaxingcpa: “@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,0,NA,2016-01-26 11:33:47,FALSE,NA,"691947136380985344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StarBaby186",7,TRUE,FALSE,NA,NA
"28","RT @lesstaxingcpa: “@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,0,NA,2016-01-26 11:30:58,FALSE,NA,"691946426117550080",NA,"<a href=""https://twitter.com/forewit"" rel=""nofollow"">Team Forewit</a>","RightRobot",7,TRUE,FALSE,NA,NA
"29","RT @lesstaxingcpa: “@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,0,NA,2016-01-26 11:29:19,FALSE,NA,"691946013033156608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SteuerCarla",7,TRUE,FALSE,NA,NA
"30","“@CALIF_JESS77: https://t.co/7rH1lLxLYh https://t.co/nhyl1PBQfy” #worstPOTUSever",FALSE,2,"CALIF_JESS77",2016-01-26 11:28:03,FALSE,"676393214383820800","691945693322334211","322818776","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lesstaxingcpa",7,FALSE,FALSE,"-77.27265025","38.82441393"
"31","@HVACSALESPRO @MrMokelly @MsLiberal2U @GOPBlackChick ISIS is the result of US policing in Middle East!",FALSE,0,"HVACSALESPRO",2016-01-24 22:52:41,FALSE,"691349767385915393","691393210988519429","88195539","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","TLTESQ37",0,FALSE,FALSE,"-76.82711677","38.80160569"
